Propellent atomic Mass [amu], Ionization Energy [eV], Dissociation Energy [eV], Anode Mass Flow Rate [SCCM], Discharge Voltage [V], Cathode Mass Flow Rate [SCCM], Cathode Keeper Voltage [V], Beam Current [A], Thrust [mN], Discharge Current [A], Electromagnetic Inner Coil Current [A], Electromagnetic Outer  Coil Current [A]
131.293,12.1,NaN,11.84,275,2,44,0.018810053,19.85,1.181,3.2,1.4
131.293,12.1,NaN,7.89,275,2,78,0.014347636,11.7,0.732,3.2,1.4
131.293,12.1,NaN,7.89,300,2,78,0.014504727,12.3,0.738,3.2,1.4
131.293,12.1,NaN,7.89,330,2,78,0.014242909,13,0.736,3.2,1.4
131.293,12.1,NaN,9.87,275,2,76,0.018641455,15.5,0.959,3.2,1.4
131.293,12.1,NaN,9.87,300,2,76,0.018903273,16.3,0.969,3.2,1.4
131.293,12.1,NaN,9.87,330,2,76,0.018798545,17.2,0.976,3.2,1.4
131.293,12.1,NaN,11.84,275,2,75,0.023354182,19.8,1.219,3.2,1.4
131.293,12.1,NaN,11.84,275,2,75,0.023301818,19.6,1.205,3.2,1.4
131.293,12.1,NaN,11.84,300,2,75,0.023249455,18.7,1.215,3.2,1.4
131.293,12.1,NaN,11.84,330,2,75,0.023144727,21.95,1.217,3.2,1.4
131.293,12.1,NaN,12,320,1.5,52.3,0.912,19.3,1.094,4.1,3.6
131.293,12.1,NaN,12,375,1.5,52.3,0.903709091,21.45,1.067,4.1,2.75
131.293,12.1,NaN,12,418,1.5,52.3,0.925745455,22.6,1.076,4.1,2.75
131.293,12.1,NaN,12,328,1.5,52.3,0.890181818,20.05,1.069,4.1,2.75
131.293,12.1,NaN,12,250,1.5,53.3,0.884509091,16.5,1.14,2.29,1
131.293,12.1,NaN,12,250,1.5,53.3,0.874909091,16.5,1.11,2.74,1.2
131.293,12.1,NaN,12,250,1.5,53.3,0.8664,16.6,1.08,3.2,1.4
131.293,12.1,NaN,12,250,1.5,53.3,0.864,16.55,1.065,3.65,1.6
131.293,12.1,NaN,12,250,1.5,53.3,0.868363636,15.05,1.06,4.11,1.8
131.293,12.1,NaN,17.3,200,1.5,62.4,1.406836364,22.6,1.75,3.2,1.4
131.293,12.1,NaN,18.1,200,1.5,62.5,1.443272727,23.25,1.75,4.11,1.8
131.293,12.1,NaN,19.3,200,1.5,61.8,1.62,25.4,2,3.2,1.4
131.293,12.1,NaN,20,200,1.5,61.7,1.663418182,26.3,2,4.11,1.8
131.293,12.1,NaN,21.1,200,1.5,61,1.820290909,28,2.25,3.2,1.4
131.293,12.1,NaN,22,200,1.5,60.8,1.870036364,28.65,2.25,4.11,1.8
131.293,12.1,NaN,8,190,1.5,68.2,0.473018182,8.15,0.634,2.29,1
131.293,12.1,NaN,9,140,1.5,66.8,0.518618182,7.05,0.79,2.29,1
131.293,12.1,NaN,10,115,1.5,65.9,0.538472727,6.65,0.915,2.29,1
131.293,12.1,NaN,11,95,1.5,64.9,0.528,5.85,1.06,2.29,1
131.293,12.1,NaN,12,80,1.5,64.5,0.453818182,4.75,1.135,2.29,1
131.293,12.1,NaN,13,75,1.5,65.1,0.392290909,3.8,1.02,2.29,1
131.293,12.1,NaN,10,140,1.5,66.3,0.586909091,7.7,0.866,2.74,1.2
131.293,12.1,NaN,12,90,1.5,64.2,0.539345455,4.85,1.164,2.74,1.2
83.798,14,NaN,15,362,1.5,53,0.753381818,13.5,0.966,2.9,1.45
83.798,14,NaN,15,372,1.5,53,0.7392,13.7,0.941,3.2,1.4
83.798,14,NaN,15,370,1.5,53,0.763636364,13.7,0.95,3.5,1.7
83.798,14,NaN,17,312,1.5,53,0.888,14.85,1.123,2.9,1.45
83.798,14,NaN,17,315,1.5,53,0.890181818,15.05,1.114,3.2,1.4
83.798,14,NaN,19,276,1.5,53,1.011272727,16,1.268,2.9,1.45
83.798,14,NaN,19,280,1.5,53,1.004727273,16.2,1.252,3.2,1.4
83.798,14,NaN,21,246,1.5,53,1.123636364,16.45,1.425,2.9,1.45
83.798,14,NaN,21,247.5,1.5,53,1.120363636,16.6,1.415,3.2,1.4
83.798,14,NaN,17,351,1.5,53,0.871636364,15.4,1.142,3.2,1.4
83.798,14,NaN,17,407,1.5,53,0.870763636,16.75,1.106,3,1.4
83.798,14,NaN,17,326,1.5,53,0.839345455,14.85,1.073,3.2,1.4
83.798,14,NaN,17,315,1.5,53,0.882327273,14.9,1.11,3.1,1.5
83.798,14,NaN,17,290,1.5,53,0.872727273,13.85,1.097,3.1,1.5
83.798,14,NaN,17,356,1.5,53,0.886909091,16,1.125,2.9,1.5
83.798,14,NaN,17,398,1.5,53,0.904363636,16.65,1.133,2.8,1.5
83.798,14,NaN,19,276,1.5,53,1.009527273,15.95,1.268,2.9,1.4
83.798,14,NaN,19,310,1.5,53,1.0272,17.25,1.292,2.9,1.55
83.798,14,NaN,19,346,1.5,53,1.029818182,18.75,1.3,2.9,1.55
83.798,14,NaN,19,250,1.5,54,1.018909091,15.35,1.28,3.2,1.4
83.798,14,NaN,19,250,1.5,54,1.008,14.85,1.293,3.2,1.4
83.798,14,NaN,19,250,1.5,54,1.008,14.8,1.29,3.2,1.4
83.798,14,NaN,19,250,1.5,54,1.016727273,15.15,1.366,2.29,1
83.798,14,NaN,19,250,1.5,54,1.014545455,14.75,1.32,2.74,1.2
83.798,14,NaN,19,250,1.5,54,1.000363636,14.65,1.29,3.2,1.4
83.798,14,NaN,19,250,1.5,54,0.994909091,14.55,1.253,3.65,1.6
83.798,14,NaN,19,250,1.5,54,0.997090909,14.4,1.25,4.11,1.8
83.798,14,NaN,19,250,1.5,54,1.040727273,14.15,1.325,4.3,2.8
83.798,14,NaN,22.6,200,1.5,31.2,1.259345455,16.2,1.75,2.29,1
83.798,14,NaN,24.5,200,1.5,30.3,1.425163636,18.05,2,2.29,1
83.798,14,NaN,26.5,200,1.5,29.7,1.6008,20.05,2.25,2.29,1
83.798,14,NaN,21,200,1.5,31.6,1.1208,14.45,1.554,2.29,1
83.798,14,NaN,19,250,1.5,31.3,1.049454545,14.95,1.486,2.29,1
83.798,14,NaN,17.5,275,1.5,32.8,0.934036364,13.95,1.267,2.29,1
83.798,14,NaN,21,200,1.5,31.7,1.104,14.25,1.508,2.51,1.1
83.798,14,NaN,19,250,1.5,31.9,1.0224,14.65,1.375,2.51,1.1
83.798,14,NaN,17.5,275,1.5,32.2,0.934254545,13.8,1.28,2.51,1.1
83.798,14,NaN,15,200,1.5,33.3,0.711272727,8.65,1.09,1.83,0.8
83.798,14,NaN,15,280,1.5,32.8,0.754909091,10.75,1.2,1.83,0.8
83.798,14,NaN,23.4,200,1.5,62.2,1.303636364,16.5,1.75,2.74,1.2
83.798,14,NaN,23.8,200,1.5,62.1,1.330909091,16.9,1.75,3.2,1.4
83.798,14,NaN,24.2,200,1.5,61.5,1.349454545,16.95,1.75,4.11,1.8
83.798,14,NaN,25.7,200,1.5,61.3,1.504363636,18.95,2,2.74,1.2
83.798,14,NaN,26.1,200,1.5,61.2,1.521818182,19.3,2,3.2,1.4
83.798,14,NaN,27,200,1.5,60.9,1.551272727,19.25,2,4.11,1.8
83.798,14,NaN,27.7,200,1.5,60.6,1.674545455,21.2,2.25,2.74,1.2
83.798,14,NaN,28.3,200,1.5,60.4,1.698545455,21.5,2.25,3.2,1.4
83.798,14,NaN,29.4,200,1.5,60.2,1.735636364,21.85,2.25,4.11,1.8
83.798,14,NaN,18,180,1.5,63.1,0.844363636,10,1.215,2.29,1
83.798,14,NaN,19,160,1.5,62.5,0.876436364,9.7,1.36,2.29,1
83.798,14,NaN,20,140,1.5,62.1,0.875127273,8.55,1.457,2.29,1
83.798,14,NaN,21,130,1.5,61.8,0.890181818,8.3,1.55,2.29,1
83.798,14,NaN,22,120,1.5,61.5,0.882545455,8.05,1.625,2.29,1
83.798,14,NaN,24,100,1.5,61.4,0.767345455,6.1,1.7,2.29,1
39.948,15.8,NaN,50,121,1,45.6,0.612436364,3.95,1.2,3.2,1.4
39.948,15.8,NaN,50,133,1,45.5,0.645818182,4.2,1.2,4,2.4
39.948,15.8,NaN,60,138,1,45.7,0.610909091,3.6,1.2,3,5
39.948,15.8,NaN,30,248,1.5,52,1.241454545,11.95,1.618,2.7,1.2
39.948,15.8,NaN,35,205,1.5,52,1.389818182,11.65,1.912,3.2,1.4
39.948,15.8,NaN,31,262,1.5,50.7,1.347272727,13.7,1.712,2.7,1.3
39.948,15.8,NaN,31,266,1,50.7,1.333090909,13.6,1.692,3,1.3
39.948,15.8,NaN,33,250,1.5,54,0,NaN,1.75,1.85,2.75
39.948,15.8,NaN,28,250,1.5,NaN,0,NaN,NaN,NaN,NaN
39.948,15.8,NaN,28,250,2,49,1.147636364,10.65,1.685,1.7,1
39.948,15.8,NaN,28,250,2,49.5,1.046836364,10.2,1.625,1.36,0.8
39.948,15.8,NaN,28,250,2,49.5,1.066909091,10.7,1.59,1.53,0.9
39.948,15.8,NaN,28,250,2,49.5,1.138909091,10.8,1.708,1.7,1
39.948,15.8,NaN,28,250,2,49.5,1.138909091,10.85,1.685,1.78,1.05
39.948,15.8,NaN,28,250,2,NaN,0,NaN,NaN,NaN,NaN
39.948,15.8,NaN,33,210,2,52,1.341818182,11.5,1.834,2.4,1.1
39.948,15.8,NaN,33,210,2,52,1.372363636,11.9,1.907,2.18,1
39.948,15.8,NaN,33,210,2,52,1.397454545,12.6,1.957,2,1
39.948,15.8,NaN,33,210,2,52,1.3824,12.2,1.935,2.1,1.05
39.948,15.8,NaN,33,210,2,52,1.365818182,12.15,1.885,2.2,1.1
39.948,15.8,NaN,33,210,2,52,1.347272727,12.05,1.84,2.3,1.15
39.948,15.8,NaN,33,210,2,52,1.328727273,12.1,1.795,2.4,1.2
39.948,15.8,NaN,33,210,2,52,1.324363636,12.1,1.787,2.5,1.25
39.948,15.8,NaN,33,210,2,52,1.322181818,12.05,1.78,2.6,1.3
39.948,15.8,NaN,33,210,2,52,1.317818182,12,1.772,2.7,1.35
39.948,15.8,NaN,31.1,200,2,61,1.178181818,9.95,1.75,1.9,0.95
39.948,15.8,NaN,32.3,200,2,61.2,1.215272727,10.2,1.75,2,1
39.948,15.8,NaN,33.3,200,2,61.8,1.258909091,10.85,1.75,2.2,1.1
39.948,15.8,NaN,35.1,200,2,61.1,1.429090909,12.25,2,2,1
39.948,15.8,NaN,35.8,200,2,61.3,1.453090909,12.45,2,2.4,1.2
39.948,15.8,NaN,36.4,200,2,61.3,1.483636364,12.6,2,2.8,1.4
39.948,15.8,NaN,37.4,200,2,60.7,1.612363636,13.75,2.25,2,1
39.948,15.8,NaN,38,200,2,60.7,1.636363636,13.95,2.25,2.4,1.2
39.948,15.8,NaN,38.7,200,2,60.7,1.669090909,14.2,2.25,2.8,1.4
39.948,15.8,NaN,39.2,200,2,60.4,1.697454545,14.45,2.25,3.2,1.6
39.948,15.8,NaN,28,190,2,61.4,0.896727273,7.35,1.465,1.4,0.7
39.948,15.8,NaN,30,170,2,61.3,0.984,7.5,1.632,1.6,0.8
39.948,15.8,NaN,35,170,2,61.3,1.234909091,9.4,1.835,2.4,1.2
39.948,15.8,NaN,36,160,2,61.1,1.213090909,9,1.86,2.4,1.2
44.0095,13.7,5.45,45,172.5,1.5,50,1.017163636,8.1,1.7,3.2,1.8
44.0095,13.7,5.45,45,196,1.5,50,1.104,8.05,1.79,4,3.6
44.0095,13.7,5.45,45,200,1.5,50,1.261309091,9.2,2,4,3.6
44.0095,13.7,5.45,45,210,1.5,50,1.384363636,10.05,2.15,4.1,3.6
44.0095,13.7,5.45,47,199.8,1.5,50,1.234909091,9.1,2,4.3,3.8
44.0095,13.7,5.45,34,250,1.5,51,1.239272727,10.1,1.78,4.1,3.6
44.0095,13.7,5.45,34,244,1.5,51,1.128,9.4,1.64,4.3,3.8
44.0095,13.7,5.45,33,250,2,50,1.258909091,9.65,1.78,3.85,3.4
44.0095,13.7,5.45,33,250,2,50,1.241454545,9.7,1.758,4.1,3.6
44.0095,13.7,5.45,33,250,2,50,1.217454545,10.05,1.723,4.32,3.8
44.0095,13.7,5.45,33,250,2,50,1.206545455,9.9,1.711,4.45,3.9
44.0095,13.7,5.45,33,250,2,50,1.193454545,9.7,1.691,4.55,4
44.0095,13.7,5.45,43.7,200,2,60.4,1.429090909,11.45,2,1.65,1.35
44.0095,13.7,5.45,43.15,200,2,60.4,1.433454545,11.25,2,1.6,1.3
44.0095,13.7,5.45,40,200,2,61.4,1.147636364,8.75,1.75,3.85,3.4
44.0095,13.7,5.45,40.35,200,2,61,1.154181818,8.95,1.75,4.1,3.6
44.0095,13.7,5.45,40.85,200,2,61,1.158545455,8.85,1.75,4.32,3.8
44.0095,13.7,5.45,42.7,200,2,60.2,1.328727273,9.95,2,3.85,3.4
44.0095,13.7,5.45,43.15,200,2,60.2,1.326545455,10.15,2,4.1,3.6
44.0095,13.7,5.45,43.7,200,2,60.2,1.326545455,10.05,2,4.32,3.8
44.0095,13.7,5.45,45,200,2,59.5,1.494545455,11.1,2.25,3.85,3.4
44.0095,13.7,5.45,45.4,200,2,59.5,1.483636364,11,2.25,4.1,3.6
44.0095,13.7,5.45,45.95,200,2,59.5,1.483636364,11,2.25,4.32,3.8
44.0095,13.7,5.45,41,161.5,2,62.5,0.794181818,6.2,1.275,1.4,1
44.0095,13.7,5.45,41,167.5,2,63,0.816,6.25,1.275,1.4,1.23
44.0095,13.7,5.45,41,177,2,62.7,0.776727273,5.9,1.275,3.85,3.4
44.0095,13.7,5.45,41,155,2,64.5,0.6,4.7,1,1.4,1
44.0095,13.7,5.45,41,144,2,68.5,0.279272727,2.35,0.5,1.4,1
44.0095,13.7,5.45,38,177,2,63.7,0.837818182,6.6,1.275,1.4,1
44.0095,13.7,5.45,38,166,2,64.8,0.634909091,5.15,1,1.4,1
44.0095,13.7,5.45,38,150,2,68.4,0.281454545,2.45,0.5,1.4,1
44.0095,13.7,5.45,40.6,200,2,62,1.237090909,9.95,1.75,1.6,1.4
44.0095,13.7,5.45,42.4,200,2,62,1.413818182,11.1,2,1.6,1.4
44.0095,13.7,5.45,45.1,200,2,61.4,1.610181818,12.45,2.25,1.6,1.4
44.0095,13.7,5.45,39,210,2.5,61.5,1.313454545,10.2,1.925,3.65,3.2
44.0095,13.7,5.45,37.5,210,2,61.8,1.197818182,9.3,1.765,3.65,3.2
44.0095,13.7,5.45,35,210,2,62.7,1.034181818,8.15,1.535,3.65,3.2
44.0095,13.7,5.45,36,220,2,62,1.248,9,1.812,3.65,3.2
44.0095,13.7,5.45,35,220,2,62.3,1.160727273,9.15,1.69,3.65,3.2
44.0095,13.7,5.45,35,230,2,61.8,1.291636364,10.35,1.851,3.65,3.2
44.0095,13.7,5.45,34.5,230,2,61.5,1.232727273,9.85,1.771,3.85,3.4
44.0095,13.7,5.45,33.7,240,2,61.6,1.276363636,10.5,1.82,3.85,3.4
44.0095,13.7,5.45,33.5,240,2,61.8,1.241454545,10.2,1.766,4.1,3.6
44.0095,13.7,5.45,48,190,2,61.2,1.488,NaN,2.31,3.65,3.2
44.0095,13.7,5.45,46,190,2,61.3,1.363636364,10.05,2.12,3.65,3.2
44.0095,13.7,5.45,44,190,2,61.6,1.287272727,9.55,2,3.65,3.2
44.0095,13.7,5.45,42,190,2,62,1.156363636,8.85,1.8,3.65,3.2
44.0095,13.7,5.45,40,190,2,62.3,1.021090909,7.85,1.595,3.65,3.2
44.0095,13.7,5.45,38,190,2,63.1,0.898909091,6.95,1.4,3.65,3.2
44.0095,13.7,5.45,37,190,2,63.5,0.837818182,6.5,1.31,3.65,3.2
28.0134,15.58,9.76,75,180,1,44.5,0.935781818,6.35,1.5,1.2,2.6
28.0134,15.58,9.76,85,195,1,44.5,0.876,4.9,1.5,2.5,5
28.0134,15.58,9.76,90,190,1,44.4,0.863345455,4.85,1.5,3,5.1
28.0134,15.58,9.76,90,160,1,44.4,0.857672727,5.4,1.5,1.6,1
28.0134,15.58,9.76,70,199,1.5,51,1.263490909,8.55,2.02,3.45,2.5
28.0134,15.58,9.76,70,204,1.5,51,1.243636364,8.5,1.96,4.1,3
28.0134,15.58,9.76,70,213,1.5,51,1.195636364,8.1,1.88,4.6,3.5
28.0134,15.58,9.76,70,212,1.5,51,1.365818182,9.3,2.13,3.45,2.5
28.0134,15.58,9.76,70,216,1.5,51,1.337454545,9.1,2.08,4.1,3
28.0134,15.58,9.76,70,219.5,1.5,51,1.323927273,8.95,2.055,4.6,3.5
28.0134,15.58,9.76,55,250,2,NaN,0,NaN,1.725,3.85,3.4
28.0134,15.58,9.76,55,250,2,51,1.119272727,7.45,1.648,3.85,3.4
28.0134,15.58,9.76,55,250,2,51,1.102909091,7.85,1.626,4.1,3.6
28.0134,15.58,9.76,55,250,2,51,1.088727273,8.2,1.6,4.32,3.8
28.0134,15.58,9.76,55,250,2,51,1.073454545,7.9,1.583,4.45,3.9
28.0134,15.58,9.76,55,250,2,51,1.065818182,7.3,1.565,4.55,4
28.0134,15.58,9.76,63.8,200,2,61.3,1.119272727,7.4,1.75,3.85,3.4
28.0134,15.58,9.76,64.4,200,2,61.4,1.090909091,7.25,1.75,4.1,3.6
28.0134,15.58,9.76,66.5,200,2,61.2,1.106181818,7.1,1.75,4.32,3.8
28.0134,15.58,9.76,69.8,200,2,60.5,1.292945455,8.45,2,3.85,3.4
28.0134,15.58,9.76,70.9,200,2,60.6,1.293818182,8.6,2,4.1,3.6
28.0134,15.58,9.76,71.9,200,2,60.6,1.291636364,8.6,2,4.32,3.8
28.0134,15.58,9.76,72.3,200,2,59.7,1.456363636,9.3,2.25,3.85,3.4
28.0134,15.58,9.76,74.2,200,2,59.8,1.4544,9.7,2.25,4.1,3.6
28.0134,15.58,9.76,75.4,200,2,59.6,1.450909091,9.45,2.25,4.32,3.8
28.0134,15.58,9.76,60,200,2,62.8,0.778909091,5.2,1.205,3.64,3.2
28.0134,15.58,9.76,64,190,2,62.2,0.861818182,5.75,1.357,3.41,3
28.0134,15.58,9.76,68,180,2,63.2,0.728727273,5,1.175,3.41,3
